Style,SubStyle
Pale Ales,American Amber Ale
Pale Ales,American Pale Ale
Pale Ales,Blonde Ale
Pale Ales,English-Style Bitter
Pale Ales,English-Style Pale Ale (ESB)
Dark Lagers,American Amber Lager
Dark Lagers,German-Style Dunkel
Dark Lagers,German-Style Marzen / Oktoberfest
Dark Lagers,German-Style Schwarzbier
Dark Lagers,Vienna-Style Lager
Brown Ales,American Brown Ale
Brown Ales,English-Style Brown Ale
Brown Ales,English-Style Mild
India Pale Ales,American IPA
India Pale Ales,English-Style IPA
India Pale Ales,Imperial India Pale Ale
India Pale Ales,New England IPA
Wheat Beers,American-Style Wheat Wine Ale
Wheat Beers,American Wheat
Wheat Beers,Belgian-Style Witbier
Wheat Beers,Berliner-Style Weisse
Wheat Beers,German-Style Dunkelweizen
Wheat Beers,German-Style Hefeweizen
Strong Ales,American Barley Wine
Strong Ales,American Imperial Red Ale
Strong Ales,British-Style Barley Wine Ale
Strong Ales,English-Style Old Ale
Belgian Styles,Belgian-Style Blonde Ale
Belgian Styles,Belgian-Style Dubbel
Belgian Styles,Belgian-Style Golden Strong Ale
Belgian Styles,Belgian-Style Pale Ale
Belgian Styles,Belgian-Style Quadrupel
Belgian Styles,Belgian-Style Saison
Belgian Styles,Belgian-Style Tripel
Hybrid Beers,American Cream Ale
Hybrid Beers,French-Style Biere de Garde
Hybrid Beers,California Common
Hybrid Beers,German-Style Brown/Altbier
Hybrid Beers,German-Style Kolsch
Hybrid Beers,Irish-Style Red Beer
Porters,American Imperial Porter
Porters,Baltic-Style Porter
Porters,English-Style Brown Porter
Porters,Robust Porter
Porters,Smoke Porter
Stouts,American Imperial Stout
Stouts,American Stout
Stouts,English-Style Oatmeal Stout
Stouts,English-Style Sweet Stout (Milk Stout)
Stouts,Irish-Style Dry Stout
Bocks,German-Style Bock
Bocks,German-Style Doppelbock
Bocks,German-Style Maibock
Bocks,German-Style Weizenbock
Scottish-Style Ales,Scotch Ale/Wee Heavy
Scottish-Style Ales,Scottish-Style Ale
Wild/Sour Beers,American Brett
Wild/Sour Beers,American Sour
Wild/Sour Beers,Belgian-Style Flanders
Wild/Sour Beers,Belgian-Style Fruit Lambic
Wild/Sour Beers,Belgian-Style Lambic/Gueuze
Wild/Sour Beers,Contemporary Gose
Pilseners and Pale Lagers,American Lager
Pilseners and Pale Lagers,Bohemian-Style Pilsener
Pilseners and Pale Lagers,European-Style Export
Pilseners and Pale Lagers,German-Style Helles
Pilseners and Pale Lagers,German-Style Pilsner
Specialty Beers,American Black Ale
Specialty Beers,Barrel-Aged Beer
Specialty Beers,Chocolate Beer
Specialty Beers,Coffee Beer
Specialty Beers,Fruit and Field Beer
Specialty Beers,Gluten-Free Beer
Specialty Beers,Herb and Spice Beer
Specialty Beers,Honey Beer
Specialty Beers,Pumpkin Beer
Specialty Beers,Rye Beer
Specialty Beers,Session Beer
Specialty Beers,Smoke Beer
Specialty Beers,Specialty Beer
